year,from,to,count
2018,Starburst_(symbol),Unicode,11
2018,ASCII,MSX_character_set,200
2018,ASCII,Control_character,4287
2018,Hyphen,En_(typography),151
2018,Typographic_ligature,Ampersand,3368
2018,Quotation_mark,Ampersand,201
2018,Colon_(punctuation),Possessive,176
2018,Underscore,Punctuation,330
2018,Pound_sign,Punctuation,121
2018,List_of_symbols,Dagger_(typography),507
2018,Slash_(punctuation),He,182
2018,Bracket,Floor_and_ceiling_functions,550
2018,Typography,Nuclear_weapon_design,81
2018,Hyphen,Diphthong,188
2018,Unicode,Byte,619
2018,Permissive_software_licence,Copyleft,1246
2018,Typography,European_Design_Award,84
2018,Soft_hyphen,Non-breaking_space,310
2018,Copyleft,Bradley_M._Kuhn,697
2018,Slash_(punctuation),Currency_pair,152
2018,ASCII,Hugh_McGregor_Ross,306
2018,Colon_(punctuation),Turin,167
2018,Persistence_(computer_science),Programming_language,31
2018,Unicode,Windows_NT_4.0,248
2018,Unicode,General_Punctuation,897
2018,Programming_language,International_Organization_for_Standardization,997
2018,List_of_symbols,Tilde,3911
2018,Exclamation_mark,Lozenge,73
2018,Euro_sign,Bracket,25
2018,Network_switch,Command-line_interface,161
2018,Global_variable,Command-line_interface,177
2018,Nabla_symbol,Code_point,152
2018,Full_stop,Ælfric_of_Eynsham,210
2018,Smith_Corona,Typewriter,390
2018,Typography,Usage-centered_design,81
2018,Syllable,Obstruent,120
2018,Percent-encoding,Slash_(punctuation),1059
2018,Quotation_mark,Ditto_mark,875
2018,Unicode_in_Microsoft_Windows,Unicode,113
2018,HTML,Unicode,133
2018,Maya_script,Unicode,196
2018,Typography,Public_interest_design,81
2018,ASCII,English_alphabet,507
2018,Full_stop,Dot_product,172
2018,Caret,Ampersand,178
2018,Unicode,Combining_character,850
2018,Slash_(punctuation),Office_of_Commercial_Space_Transportation,145
2018,Slash_(punctuation),Lost_Generation,186
2018,Equals_sign,Punctuation,198
2018,Typography,Intentionally_blank_page,69
2018,Asterism_(typography),Dagger_(typography),381
2018,Unicode,Soyombo_alphabet,408
2018,Exclamation_mark,Ellipsis,590
2018,Command-line_interface,Computer_mouse,20
2018,Slash_(punctuation),£sd,165
2018,Hyphen,Calligraphy,161
2018,Copyright_symbol,Exclamation_mark,523
2018,Password,Character_(computing),481
2018,Australian_dollar,Currency_symbol,376
2018,Slash_(punctuation),OS/2,132
2018,ASCII,EBCDIC_012,145
2018,Asterisk,Vertical_service_code,62
2018,Dash,Underscore,962
2018,Paragraph,Underscore,152
2018,Komejirushi,At_sign,31
2018,Lucida_Sans_Unicode,Typography,170
2018,Polynomial_interpolation,Typography,158
2018,Copyleft,License,405
2018,ASCII,Request_for_Comments,36
