year,from,to,count
2022,Tajiks,Ancient_Rome,74
2022,Cleopatra,Roman_historiography,695
2022,Library_of_Alexandria,Library_of_Pergamum,449
2022,Parthian_Empire,Rinnu,11
2022,Armenians,Greek_language,34
2022,Colossus_of_Rhodes,Greek_language,61
2022,Jude_the_Apostle,Greek_language,58
2022,Peter_(given_name),Greek_language,22
2022,Gnaeus_Pompeius_Magnus_(son_of_Pompey),Battle_of_Pharsalus,49
2022,Ancient_Egypt,Regalia,74
2022,Black,Roman_Empire,98
2022,Political_institutions_of_ancient_Rome,Roman_Empire,98
2022,List_of_purpose-built_national_capitals,Roman_Empire,23
2022,Gaius_Antonius_Hybrida,Mark_Antony,83
2022,Parthian_Empire,Babylonian_religion,1224
2022,List_of_Byzantine_emperors,Augustus,108
2022,Mausoleum_of_Augustus,Augustus,1408
2022,Imperator,Augustus,213
2022,Egyptian_cobra,Forest_cobra,58
2022,Ancient_Egyptian_deities,Pharaoh,410
2022,Artaxerxes_III,Pharaoh,81
2022,USS_Bainbridge_(DDG-96),Mediterranean_Sea,17
2022,Algiers,Mediterranean_Sea,279
2022,Corolla_(headgear),Diadem,133
2022,Battle_of_the_Nile_(47_BC),Antipater_the_Idumaean,270
2022,Roman_Republic,Death_of_Cleopatra,45
2022,Ptolemy_XIII_Theos_Philopator,Ptolemaic_dynasty,1676
2022,4th_century,Kingdom_of_Armenia_(antiquity),36
2022,Battle_of_Tigranocerta,Kingdom_of_Armenia_(antiquity),148
2022,Roman_Empire,Northern_England,119
2022,Roman_Empire,Flavian_dynasty,83
2022,Alexandria,Luigi_Mayer,21
2022,Hellenism,Hellenistic_Greece,461
2022,Ancient_Greece,Ptolemy_I_Soter,57
2022,List_of_cultural_depictions_of_Cleopatra,Cleopatra,218
2022,Early_life_of_Cleopatra,Arsinoe_IV,70
2022,Roman_historiography,Polybius,145
2022,Greek_language,Middle_English,82
2022,Mark_Antony,Liam_Garrigan,63
2022,Indo-Greek_Kingdom,Alexandria_Arachosia,74
2022,Pompey,John_Shrapnel,27
2022,Eunuch,Gabo_Reform,55
2022,Alexander_the_Great,Chronology_of_the_expedition_of_Alexander_the_Great_into_Asia,492
2022,Roman_Empire,Africa_(Roman_province),72
2022,Augustus,Gaius_Cassius_Longinus,211
2022,Roman_cavalry,Roman_Republic,21
2022,Colonia_(Roman),Roman_Republic,44
2022,Lucius_Cornelius_Cinna_(praetor_44_BC),Julius_Caesar,24
2022,Green_Caesar,Julius_Caesar,55
2022,Siege_of_Alexandria_(47_BC),Julius_Caesar,291
2022,Alexandria,Lake_Mariout,266
2022,Caesar's_civil_war,Aerarium,60
2022,Lighthouse_of_Alexandria,Ptolemaic_Kingdom,890
2022,Cleopatra_II,Ptolemaic_Kingdom,145
2022,Joint_monarchy,Coregency,82
2022,Egyptian_cobra,Anchieta's_cobra,173
2022,Ancient_Macedonians,Ancient_Greece,2140
2022,Egyptian_blue,Ancient_Egypt,46
2022,Volume,Ancient_Egypt,34
2022,Saqqara,Ancient_Egypt,112
2022,Wine,Ancient_Egypt,56
2022,Mitanni,Ancient_Egypt,30
2022,Ptolemy_XIII_Theos_Philopator,Ptolemy_XIV_Philopator,2348
2022,Alexander_the_Great,Seven_Wonders_of_the_Ancient_World,645
